observation_id,user_id,species_name,common_name,date_observed,location_text,latitude,longitude,image_filename,notes
1,Musab,Corvus splendens,House Crow,5/10/2024,F-8 Markaz Islamabad,33.708,73.0392,crow.jpg,Seen scavenging near a bin. Very common.
2,Arham,Panthera pardus,Common Leopard,5/12/2024,Trail 5 Margalla Hills,33.748,73.06,leopard_trail5.jpg,Pugmarks found early morning. No direct sighting.
3,Hashim,Psittacula krameri,Rose-ringed Parakeet,5/11/2024,Shakarparian Park,33.691,73.099,parakeet_shakar.jpg,Large flock seen feeding on fruit trees.
4,Talha,Delonix regia,Gulmohar Tree,5/9/2024,Street in E-7 Islamabad,33.72,73.055,gulmohar.jpg,"In full bloom, beautiful red flowers."
5,Aqsa,Sus scrofa,Wild Boar,5/13/2024,Near Rawal Lake dam,33.695,73.12,boar_rawal.jpg,Group of 5 seen foraging at dusk.
6,Maham,Milvus migrans,Black Kite,5/14/2024,Over F-10 Markaz,33.699,73.02,kite.jpg,"Soaring high in the sky, looking for prey."
7,Muhammad Rayyan,Macaca mulatta,Rhesus Macaque,5/15/2024,Daman-e-Koh Viewpoint,33.74,73.075,macaque_damanekoh.jpg,Group begging for food from tourists. Be cautious.
8,Ashar,Passer domesticus,House Sparrow,5/15/2024,Garden in G-9 Islamabad,33.68,73.025,sparrow.jpg,Chirping actively in the bushes.
9,Sudais,Ixobrychus minutus,Little Bittern,5/14/2024,Rawal Lake reed beds,33.694,73.123,bittern.jpg,"Rare sighting, well camouflaged in reeds."
10,Maniha,Canis aureus,Golden Jackal,5/13/2024,Margalla Hills Trail 3,33.742,73.065,jackal_trail3.jpg,"Heard howling at night, distinct calls."
11,Reham,Bougainvillea spectabilis,Bougainvillea,5/12/2024,House wall in I-8,33.67,73.07,bougainvillea.jpg,"Vibrant pink flowers, common ornamental plant."
12,Abdullah,Varanus bengalensis,Bengal Monitor Lizard,5/11/2024,Near Islamabad Zoo,33.73,73.08,monitor_lizard.jpg,Basking in the sun on a rock.
13,Muhammad Rayyan,Aegypius monachus,Cinereous Vulture,5/10/2024,Higher ridges of Margalla Hills,33.76,73.05,vulture.jpg,"Rare winter visitor, large wingspan."
14,Meeru,Felis chaus,Jungle Cat,5/9/2024,Edge of Saidpur Village,33.75,73.085,jungle_cat.jpg,Spotted crossing a path at twilight.
15,Musab,Lantana camara,Lantana,5/15/2024,Overgrown patch near Trail 6,33.755,73.07,lantana.jpg,"Invasive species, but provides nectar for butterflies."
16,Muhammad Rayyan,Canis lupus,Wolves,5/16/2025,Trail 3,33.748958,73.0788596,20250517003952_14491848_web1_181121-TDT-M-WolfWeb.jpg,Running and Howling
